Feature,missing_rate,nunique,abs_corr_to_revenue,base_feature,suffix,CompositeImportance
daily_total_item_revenue_lag7,0.001826245760500913,3827,0.5030252303457825,daily_total_item_revenue,lag7,0.2943851068766829
new_customer_aov_lag365,0.09522567179754761,3350,0.06156183422837879,new_customer_aov,lag365,0.2876093877957294
legacy_revenue_share_roll30,0.00026089225150013044,3789,0.326858972681216,legacy_revenue_share,roll30,0.2860948205320495
daily_gross_revenue_before_discount_lag7,0.001826245760500913,3827,0.47455455024330995,daily_gross_revenue_before_discount,lag7,0.2851288240102325
daily_return_risk_index_lag365,0.09522567179754761,3463,0.10915225109126415,daily_return_risk_index,lag365,0.2811485875603835
daily_total_cogs_lag30,0.007826767545003914,3804,0.6437468093678329,daily_total_cogs,lag30,0.2786416322958036
size_mix_return_pressure_roll30,0.00026089225150013044,3833,0.12789114801615545,size_mix_return_pressure,roll30,0.2657938739365997
daily_promo_order_count_lag365,0.09522567179754761,398,0.2650272101796687,daily_promo_order_count,lag365,0.2640046383663209
covid_intensity_roll30,0.00026089225150013044,942,0.24897257007772336,covid_intensity,roll30,0.2632885605577836
city_encoded_lag30,0.007826767545003914,3804,0.2767681489319028,city_encoded,lag30,0.2623430712323881
daily_total_cogs_lag365,0.09522567179754761,3469,0.8063832055020863,daily_total_cogs,lag365,0.2568804916726398
daily_order_count_roll7,0.00026089225150013044,1797,0.6336107157097659,daily_order_count,roll7,0.2432479137103516
daily_gross_revenue_before_discount_lag30,0.007826767545003914,3804,0.6528051451836238,daily_gross_revenue_before_discount,lag30,0.2397015310780944
active_customer_demographic_mix_score_lag30,0.007826767545003914,3804,0.26118225088625024,active_customer_demographic_mix_score,lag30,0.2397003765315889
aov_roll7,0.00026089225150013044,3833,0.018216759267850918,aov,roll7,0.2383255879082343
customer_repurchase_cadence_index_roll7,0.00026089225150013044,3658,0.2284985603584058,customer_repurchase_cadence_index,roll7,0.2279881235751029
size_mix_return_pressure_lag365,0.09522567179754761,3469,0.05337607212742999,size_mix_return_pressure,lag365,0.2236506707154323
daily_total_quantity_lag7,0.001826245760500913,1537,0.40581978838506166,daily_total_quantity,lag7,0.2217913361500378
promo_penetration_rate_lag365,0.09522567179754761,555,0.06256006867052669,promo_penetration_rate,lag365,0.2207718878933177
daily_total_cogs_lag7,0.001826245760500913,3827,0.4472668760682646,daily_total_cogs,lag7,0.2186129987545743
avg_delivery_days_lag365,0.09522567179754761,2704,0.005984048139078306,avg_delivery_days,lag365,0.2185635381336349
daily_promo_line_count_roll7,0.00026089225150013044,1284,0.0734242033859923,daily_promo_line_count,roll7,0.2160423933975933
daily_order_line_count_lag7,0.001826245760500913,545,0.40706852383951136,daily_order_line_count,lag7,0.2121299742485984
promo_penetration_rate_roll30,0.00026089225150013044,2710,0.12633979120412664,promo_penetration_rate,roll30,0.2099902796348112
daily_expected_margin_mix_roll7,0.00026089225150013044,3833,0.1185458546577292,daily_expected_margin_mix,roll7,0.2072981992341604
daily_mobile_order_ratio_lag365,0.09522567179754761,1915,0.011049114967446793,daily_mobile_order_ratio,lag365,0.2028215868923642
daily_gross_revenue_before_discount_roll7,0.00026089225150013044,3833,0.6824554843128467,daily_gross_revenue_before_discount,roll7,0.2024640066720633
daily_order_count_lag365,0.09522567179754761,499,0.7965672779735978,daily_order_count,lag365,0.198164334125782
new_customer_aov_roll30,0.00026089225150013044,3791,0.021780882102681247,new_customer_aov,roll30,0.193737460088593
daily_total_cogs_roll7,0.00026089225150013044,3833,0.6579602066274216,daily_total_cogs,roll7,0.1934239562189976
legacy_aov_lag365,0.09522567179754761,3469,0.10096397579285853,legacy_aov,lag365,0.1928912915826317
regional_revenue_concentration_index_roll7,0.00026089225150013044,3833,0.05359715803502237,regional_revenue_concentration_index,roll7,0.1887990830880075
high_intent_traffic_share_roll7,0.00026089225150013044,3653,0.015713667429526592,high_intent_traffic_share,roll7,0.1878598362830143
week_of_year,0.0,53,0.190397296508886,week_of_year,calendar_or_static,0.1854655227430665
covid_intensity_lag365,0.09522567179754761,549,0.1774548077793996,covid_intensity,lag365,0.1811674586271832
active_customer_demographic_mix_score_roll30,0.00026089225150013044,3833,0.26167888498607805,active_customer_demographic_mix_score,roll30,0.1800616512421053
financing_intensity_index_roll30,0.00026089225150013044,3833,0.16585933194290936,financing_intensity_index,roll30,0.179714350255237
daily_mobile_order_ratio_roll30,0.00026089225150013044,3829,0.16036420008502172,daily_mobile_order_ratio,roll30,0.1796396368457463
city_encoded_lag365,0.09522567179754761,3469,0.22885541900251685,city_encoded,lag365,0.1783572316109793
daily_discount_depth_lag7,0.001826245760500913,1695,0.16107088047361698,daily_discount_depth,lag7,0.1767011576780963
daily_discount_amount_lag7,0.001826245760500913,1675,0.0005577938592550152,daily_discount_amount,lag7,0.1725860851614504
daily_mobile_order_ratio_lag30,0.007826767545003914,1992,0.039285395345510295,daily_mobile_order_ratio,lag30,0.1725514343379921
financing_intensity_index_lag365,0.09522567179754761,2871,0.01959355222325474,financing_intensity_index,lag365,0.1718931830883942
daily_total_item_revenue_lag30,0.007826767545003914,3804,0.6417039026025665,daily_total_item_revenue,lag30,0.1707287445126615
city_encoded_roll30,0.00026089225150013044,3833,0.23641825624047635,city_encoded,roll30,0.1674207245369978
daily_promo_line_count_roll30,0.00026089225150013044,2276,0.1200421766558315,daily_promo_line_count,roll30,0.1665622344971842
avg_delivery_days_lag7,0.001826245760500913,2889,0.024531926319053703,avg_delivery_days,lag7,0.1665304386951187
category_reason_weighted_return_risk_lag365,0.09522567179754761,3469,0.006644183021265129,category_reason_weighted_return_risk,lag365,0.1664918778600178
new_customer_aov_lag30,0.007826767545003914,3685,0.03148716096513117,new_customer_aov,lag30,0.1659505224995207
category_encoded_lag30,0.007826767545003914,3804,0.10216955741241333,category_encoded,lag30,0.1652687221167116
payment_method_cancellation_risk_lag7,0.001826245760500913,3827,0.025534126771908392,payment_method_cancellation_risk,lag7,0.1651109391533053
daily_mobile_order_ratio_lag7,0.001826245760500913,1994,0.027024921691728133,daily_mobile_order_ratio,lag7,0.1635742934628284
daily_stockout_rate_lag30,0.007826767545003914,2243,0.012750412859597519,daily_stockout_rate,lag30,0.1628734213369068
daily_order_line_count_lag365,0.09522567179754761,545,0.7837339892639419,daily_order_line_count,lag365,0.1628708547013487
wt_sessions_roll30,0.00026089225150013044,3646,0.2620048833172862,wt_sessions,roll30,0.1601840340246678
upt_lag30,0.007826767545003914,3131,0.017101751723873217,upt,lag30,0.1600150762447881
daily_avg_fill_rate_roll30,0.00026089225150013044,3806,0.03302124505636743,daily_avg_fill_rate,roll30,0.1598701811556385
avg_delivery_days_roll7,0.00026089225150013044,3832,0.023134417731933962,avg_delivery_days,roll7,0.159419660987727
wt_bounce_rate_roll7,0.00026089225150013044,1154,0.017272921250837132,wt_bounce_rate,roll7,0.1579329585107542
daily_expected_margin_mix_lag30,0.007826767545003914,3804,0.04462724299768487,daily_expected_margin_mix,lag30,0.157566132277215
financing_intensity_index_lag7,0.001826245760500913,3113,0.030200661217890976,financing_intensity_index,lag7,0.1562587774751625
customer_repurchase_cadence_index_roll30,0.00026089225150013044,3645,0.21093594859256115,customer_repurchase_cadence_index,roll30,0.1549895317144929
daily_order_line_count_roll30,0.00026089225150013044,3051,0.6194046934859256,daily_order_line_count,roll30,0.1546499793043227
legacy_aov_roll7,0.00026089225150013044,3826,0.0037933884031874972,legacy_aov,roll7,0.1536247627003487
daily_order_count_lag7,0.001826245760500913,500,0.42998845271160213,daily_order_count,lag7,0.1506164559859116
wt_unique_visitors_lag365,0.09522567179754761,3068,0.276593353432348,wt_unique_visitors,lag365,0.1493339374081706
high_intent_traffic_share_roll30,0.00026089225150013044,3653,0.02326266470694991,high_intent_traffic_share,roll30,0.1480084739736184
legacy_aov_lag30,0.007826767545003914,3791,0.06502794572093798,legacy_aov,lag30,0.1469545935750519
wt_bounce_rate_lag30,0.007826767545003914,263,0.024734531571957583,wt_bounce_rate,lag30,0.1455610755906276
avg_delivery_days_lag30,0.007826767545003914,2875,0.001073429180625864,avg_delivery_days,lag30,0.1453954892747119
daily_discount_depth_lag30,0.007826767545003914,1672,0.07910757485264966,daily_discount_depth,lag30,0.1452957832928713
category_reason_weighted_return_risk_roll30,0.00026089225150013044,3833,0.036076880164418734,category_reason_weighted_return_risk,roll30,0.1449312329421357
size_mix_return_pressure_lag7,0.001826245760500913,3827,0.0936726411182907,size_mix_return_pressure,lag7,0.1442528645304675
daily_stockout_rate_lag365,0.09522567179754761,2152,0.010647813058489716,daily_stockout_rate,lag365,0.1436970214909411
daily_total_quantity_lag365,0.09522567179754761,1516,0.7823425659225757,daily_total_quantity,lag365,0.1432904787542724
wt_avg_session_dur_lag30,0.007826767545003914,1767,0.0139287010092531,wt_avg_session_dur,lag30,0.1426130089105651
high_intent_traffic_share_lag30,0.007826767545003914,3617,0.03787798602611785,high_intent_traffic_share,lag30,0.1410920832598346
daily_total_quantity_roll7,0.00026089225150013044,3204,0.6102852196219434,daily_total_quantity,roll7,0.1385208823336375
daily_order_line_count_roll7,0.00026089225150013044,1914,0.610919797203016,daily_order_line_count,roll7,0.1368390591287646
wt_bounce_rate_lag7,0.001826245760500913,263,0.0058850980956717085,wt_bounce_rate,lag7,0.1368170782525768
daily_cod_order_ratio_lag30,0.007826767545003914,1705,0.0034536809157247367,daily_cod_order_ratio,lag30,0.1368126512508578
wt_unique_visitors_roll30,0.00026089225150013044,3647,0.2626900028878317,wt_unique_visitors,roll30,0.1366955826937949
daily_stockout_rate_roll30,0.00026089225150013044,3805,0.012683402355328008,daily_stockout_rate,roll30,0.1366696763948993
daily_discount_amount_lag365,0.09522567179754761,1543,0.18644754912663103,daily_discount_amount,lag365,0.1364230866836954
category_reason_weighted_return_risk_lag30,0.007826767545003914,3804,0.017222157665969573,category_reason_weighted_return_risk,lag30,0.136377739297944
aov_lag30,0.007826767545003914,3804,0.08482622847704058,aov,lag30,0.1354848085065051
financing_intensity_index_lag30,0.007826767545003914,3099,0.019738182033291522,financing_intensity_index,lag30,0.1347200359628157
regional_revenue_concentration_index_roll30,0.00026089225150013044,3833,0.11836768746702739,regional_revenue_concentration_index,roll30,0.1341559417259113
customer_repurchase_cadence_index_lag30,0.007826767545003914,1586,0.15545982991384374,customer_repurchase_cadence_index,lag30,0.1336022517044665
legacy_order_ratio_lag30,0.007826767545003914,2912,0.32496973576686206,legacy_order_ratio,lag30,0.1331348584344253
financing_intensity_index_roll7,0.00026089225150013044,3833,0.07784129715699856,financing_intensity_index,roll7,0.1331265198053451
category_encoded_lag365,0.09522567179754761,3469,0.15292517975588793,category_encoded,lag365,0.1322435408072512
wt_avg_session_dur_lag365,0.09522567179754761,1694,0.019532535370150515,wt_avg_session_dur,lag365,0.1307478253622062
daily_avg_fill_rate_lag7,0.001826245760500913,3752,0.049621300045310957,daily_avg_fill_rate,lag7,0.1303282031707586
avg_delivery_days_roll30,0.00026089225150013044,3831,0.057214891218870204,avg_delivery_days,roll30,0.1302885702210061
wt_page_views_lag7,0.001826245760500913,3615,0.25914174350511976,wt_page_views,lag7,0.1277010716388747
regional_revenue_concentration_index_lag365,0.09522567179754761,3469,0.006147954485866805,regional_revenue_concentration_index,lag365,0.1273732872741698
upt_lag365,0.09522567179754761,2917,0.0005635822154070826,upt,lag365,0.1273307326877654
active_customer_demographic_mix_score_lag7,0.001826245760500913,3827,0.2605576888271846,active_customer_demographic_mix_score,lag7,0.1272367226699775
daily_mobile_order_ratio_roll7,0.00026089225150013044,3827,0.07831497097591388,daily_mobile_order_ratio,roll7,0.1270116824569008
month,0.0,12,0.20427117859680938,month,calendar_or_static,0.1264535868521262
daily_discount_depth_roll30,0.00026089225150013044,2802,0.15127546583593446,daily_discount_depth,roll30,0.1242748728330105
daily_discount_amount_lag30,0.007826767545003914,1652,0.19564434309648898,daily_discount_amount,lag30,0.1240740997093958
daily_return_risk_index_lag30,0.007826767545003914,3789,0.09414151534807778,daily_return_risk_index,lag30,0.1233157821986097
daily_avg_fill_rate_roll7,0.00026089225150013044,3806,0.04068030042821054,daily_avg_fill_rate,roll7,0.1231326930533805
wt_bounce_rate_roll30,0.00026089225150013044,1962,0.013797505825647361,wt_bounce_rate,roll30,0.1223962844335361
daily_stockout_rate_roll7,0.00026089225150013044,3803,0.00631950755013563,daily_stockout_rate,roll7,0.1222420822494447
daily_cod_order_ratio_roll30,0.00026089225150013044,3829,0.028734323553610774,daily_cod_order_ratio,roll30,0.1218877564967717
daily_cod_order_ratio_roll7,0.00026089225150013044,3824,0.017484579892510003,daily_cod_order_ratio,roll7,0.1218230771910923
daily_avg_fill_rate_lag30,0.007826767545003914,3729,0.02351441213452479,daily_avg_fill_rate,lag30,0.1217093009994765
daily_stockout_rate_lag7,0.001826245760500913,2250,0.004364836970259241,daily_stockout_rate,lag7,0.1215358367615765
wt_avg_session_dur_roll7,0.00026089225150013044,3012,0.004407638446627039,wt_avg_session_dur,roll7,0.1214764994805818
daily_expected_margin_mix_lag7,0.001826245760500913,3827,0.07208940282098224,daily_expected_margin_mix,lag7,0.1212113783451204
wt_page_views_lag365,0.09522567179754761,3265,0.2597106188317591,wt_page_views,lag365,0.1208964406600662
wt_sessions_roll7,0.00026089225150013044,3625,0.28408270276716674,wt_sessions,roll7,0.120764668703299
payment_method_cancellation_risk_lag30,0.007826767545003914,3804,0.015801629449150825,payment_method_cancellation_risk,lag30,0.1195077641785192
daily_promo_line_count_lag365,0.09522567179754761,437,0.25631946698200786,daily_promo_line_count,lag365,0.1194759893217236
payment_method_cancellation_risk_lag365,0.09522567179754761,3469,0.0005599649544154689,payment_method_cancellation_risk,lag365,0.1191777707071261
customer_repurchase_cadence_index_lag365,0.09522567179754761,1429,0.1953407589892284,customer_repurchase_cadence_index,lag365,0.1176192066680556
regional_revenue_concentration_index_lag7,0.001826245760500913,3827,0.042984460105013333,regional_revenue_concentration_index,lag7,0.117158210003982
daily_avg_fill_rate_lag365,0.09522567179754761,3407,0.04961832894243534,daily_avg_fill_rate,lag365,0.1161665541763224
legacy_aov_roll30,0.00026089225150013044,3830,0.012958179871940936,legacy_aov,roll30,0.1150045183466801
upt_lag7,0.001826245760500913,3144,0.07075009220095298,upt,lag7,0.11483834960738
daily_cod_order_ratio_lag7,0.001826245760500913,1709,0.008806099764868682,daily_cod_order_ratio,lag7,0.1146292336949972
daily_cod_order_ratio_lag365,0.09522567179754761,1649,0.010652602776669504,daily_cod_order_ratio,lag365,0.114011074672872
category_reason_weighted_return_risk_roll7,0.00026089225150013044,3833,0.026652712259822943,category_reason_weighted_return_risk,roll7,0.1138825742752364
wt_page_views_roll7,0.00026089225150013044,3652,0.28302031738339173,wt_page_views,roll7,0.1129788011871801
regional_revenue_concentration_index_lag30,0.007826767545003914,3804,0.03731746412483634,regional_revenue_concentration_index,lag30,0.1129068305815596
daily_expected_margin_mix_lag365,0.09522567179754761,3469,0.011237157155532277,daily_expected_margin_mix,lag365,0.1126384618504318
category_reason_weighted_return_risk_lag7,0.001826245760500913,3827,0.00961382633412354,category_reason_weighted_return_risk,lag7,0.1104073761665132
new_customer_aov_lag7,0.001826245760500913,3708,0.005844390290103577,new_customer_aov,lag7,0.1089830881151661
wt_page_views_lag30,0.007826767545003914,3593,0.1952694525053865,wt_page_views,lag30,0.1088510611328084
legacy_aov_lag7,0.001826245760500913,3805,0.013438303687336384,legacy_aov,lag7,0.1087115665120111
payment_method_cancellation_risk_roll7,0.00026089225150013044,3833,0.05394070436992017,payment_method_cancellation_risk,roll7,0.1087111467480161
aov_roll30,0.00026089225150013044,3833,0.030526704109403304,aov,roll30,0.108592222851075
upt_roll7,0.00026089225150013044,3832,0.07930775171303711,upt,roll7,0.1082283702542365
wt_sessions_lag7,0.001826245760500913,3443,0.27430713363519943,wt_sessions,lag7,0.1076403188373618
size_mix_return_pressure_lag30,0.007826767545003914,3804,0.07605732745526515,size_mix_return_pressure,lag30,0.1065420343609225
daily_return_risk_index_roll7,0.00026089225150013044,3833,0.16750286546643198,daily_return_risk_index,roll7,0.1064576236476881
legacy_revenue_share_lag30,0.007826767545003914,3676,0.3207865000143614,legacy_revenue_share,lag30,0.1054458643539089
wt_bounce_rate_lag365,0.09522567179754761,263,0.015459589833058469,wt_bounce_rate,lag365,0.1050116775700486
customer_repurchase_cadence_index_lag7,0.001826245760500913,1596,0.2059609262727497,customer_repurchase_cadence_index,lag7,0.1043071897824823
daily_discount_amount_roll30,0.00026089225150013044,2802,0.11099013153521549,daily_discount_amount,roll30,0.1037155619735294
wt_avg_session_dur_lag7,0.001826245760500913,1771,0.0052395688663806235,wt_avg_session_dur,lag7,0.1016715568331738
city_encoded_lag7,0.001826245760500913,3827,0.2347139099090345,city_encoded,lag7,0.1001808434459917
city_encoded_roll7,0.00026089225150013044,3833,0.2284451023054512,city_encoded,roll7,0.0994076653294631
wt_sessions_lag30,0.007826767545003914,3424,0.2050509836061382,wt_sessions,lag30,0.0974912006490977
legacy_revenue_share_roll7,0.00026089225150013044,3784,0.3271583569122729,legacy_revenue_share,roll7,0.0969775459846307
payment_method_cancellation_risk_roll30,0.00026089225150013044,3833,0.07586715768476943,payment_method_cancellation_risk,roll30,0.0957532405000857
high_intent_traffic_share_lag365,0.09522567179754761,3282,0.037412438415343204,high_intent_traffic_share,lag365,0.0942086366914538
daily_gross_revenue_before_discount_roll30,0.00026089225150013044,3833,0.6775498496051995,daily_gross_revenue_before_discount,roll30,0.0941512464897373
daily_total_quantity_roll30,0.00026089225150013044,3620,0.6191501101881999,daily_total_quantity,roll30,0.0940388961758678
wt_avg_session_dur_roll30,0.00026089225150013044,3304,0.01034526206796866,wt_avg_session_dur,roll30,0.0939686291873695
daily_order_count_roll30,0.00026089225150013044,2991,0.6360427015667836,daily_order_count,roll30,0.0932445158472515
daily_promo_order_count_lag7,0.001826245760500913,400,0.008444383001389947,daily_promo_order_count,lag7,0.0926036634959702
wt_page_views_roll30,0.00026089225150013044,3652,0.26284076249343213,wt_page_views,roll30,0.091876782875816
legacy_revenue_share_lag365,0.09522567179754761,3354,0.34057736572862574,legacy_revenue_share,lag365,0.09045468521261
high_intent_traffic_share_lag7,0.001826245760500913,3640,0.015397938013858069,high_intent_traffic_share,lag7,0.0904512073477848
aov_lag7,0.001826245760500913,3827,0.004426498303017027,aov,lag7,0.0902825374061336
legacy_order_ratio_roll7,0.00026089225150013044,3772,0.3274122145771137,legacy_order_ratio,roll7,0.0900068305695425
wt_unique_visitors_lag30,0.007826767545003914,3360,0.20687651237011928,wt_unique_visitors,lag30,0.0898104769115697
daily_total_item_revenue_roll30,0.00026089225150013044,3833,0.6777196404538072,daily_total_item_revenue,roll30,0.0890813822305827
daily_promo_order_count_roll30,0.00026089225150013044,2211,0.12803063624006095,daily_promo_order_count,roll30,0.0867810662181821
daily_promo_line_count_lag30,0.007826767545003914,438,0.23270548351012155,daily_promo_line_count,lag30,0.0821703916728984
daily_promo_line_count_lag7,0.001826245760500913,438,0.003752777044725443,daily_promo_line_count,lag7,0.0819555709947073
daily_total_cogs_roll30,0.00026089225150013044,3833,0.6613101107805286,daily_total_cogs,roll30,0.0814668080959072
category_encoded_roll7,0.00026089225150013044,3833,0.1928930850916847,category_encoded,roll7,0.0788313498924346
category_encoded_roll30,0.00026089225150013044,3833,0.19218795705095162,category_encoded,roll30,0.0786971401031873
daily_return_risk_index_lag7,0.001826245760500913,3812,0.1595194258350159,daily_return_risk_index,lag7,0.0782413255705974
category_encoded_lag7,0.001826245760500913,3827,0.18765745300572212,category_encoded,lag7,0.077273724423965
upt_roll30,0.00026089225150013044,3833,0.07435746855735217,upt,roll30,0.0757661092835541
wt_unique_visitors_roll7,0.00026089225150013044,3611,0.28261901766812864,wt_unique_visitors,roll7,0.073892331259674
legacy_order_ratio_lag7,0.001826245760500913,2919,0.32670183352674653,legacy_order_ratio,lag7,0.0717673062098067
legacy_order_ratio_lag365,0.09522567179754761,2667,0.3426004052753246,legacy_order_ratio,lag365,0.0712918269278575
wt_sessions_lag365,0.09522567179754761,3116,0.27688764915130104,wt_sessions,lag365,0.0710139196653107
legacy_revenue_share_lag7,0.001826245760500913,3690,0.3241567229220574,legacy_revenue_share,lag7,0.0688439835113296
wt_unique_visitors_lag7,0.001826245760500913,3379,0.273311641747693,wt_unique_visitors,lag7,0.0680521115664941
daily_promo_order_count_lag30,0.007826767545003914,400,0.235647429117382,daily_promo_order_count,lag30,0.0608634051594344
promo_penetration_rate_lag30,0.007826767545003914,580,0.04569808365936702,promo_penetration_rate,lag30,0.0566450000489766
daily_return_risk_index_roll30,0.00026089225150013044,3833,0.1690303533128321,daily_return_risk_index,roll30,0.0524182857982215
covid_intensity_lag7,0.001826245760500913,907,0.2473955575268885,covid_intensity,lag7,0.0480873770169747
covid_intensity_roll7,0.00026089225150013044,919,0.24692597984877301,covid_intensity,roll7,0.0463645463222565
market_era_roll30,0.00026089225150013044,62,0.27592602925078225,market_era,roll30,0.0449402503018278
promo_penetration_rate_lag7,0.001826245760500913,580,0.1432516682096779,promo_penetration_rate,lag7,0.0438593174003781
covid_intensity,0.0,913,0.24610410800341706,covid_intensity,calendar_or_static,0.0416380110132729
market_era_roll7,0.00026089225150013044,16,0.28077822622844073,market_era,roll7,0.0
market_era_lag7,0.001826245760500913,4,0.27921382883220064,market_era,lag7,0.0
year,0.0,11,0.2776336597261205,year,calendar_or_static,0.0
market_era_lag30,0.007826767545003914,4,0.2693042806293397,market_era,lag30,0.0
market_era_lag365,0.09522567179754761,4,0.22962605847284223,market_era,lag365,0.0
city_encoded,0.0,3833,0.22010025954327136,city_encoded,calendar_or_static,0.0
category_encoded,0.0,3833,0.15657146747880313,category_encoded,calendar_or_static,0.0
