feature_a,feature_b,abs_corr,base_a,base_b
daily_order_line_count_lag30,daily_order_count_lag30,0.9968936493116022,daily_order_line_count,daily_order_count
daily_order_line_count_lag7,daily_order_count_lag7,0.996865490012257,daily_order_line_count,daily_order_count
market_era_roll7,market_era_roll30,0.9968149449970855,market_era,market_era
covid_intensity_lag30,covid_intensity_roll30,0.9967980149026021,covid_intensity,covid_intensity
daily_order_line_count_roll7,daily_order_count_roll7,0.9967174389758129,daily_order_line_count,daily_order_count
day_of_year,month,0.9964991662566387,day_of_year,month
daily_order_line_count_roll30,daily_order_count_roll30,0.9964272145527749,daily_order_line_count,daily_order_count
covid_intensity,covid_intensity_roll30,0.9963980377718601,covid_intensity,covid_intensity
daily_total_quantity_roll7,daily_order_count_roll7,0.9963472746157541,daily_total_quantity,daily_order_count
daily_total_quantity_roll30,daily_order_count_roll30,0.9962702146894634,daily_total_quantity,daily_order_count
daily_total_quantity_lag365,daily_order_count_lag365,0.9960162612897433,daily_total_quantity,daily_order_count
wt_sessions_lag365,wt_unique_visitors_lag365,0.9959342125934414,wt_sessions,wt_unique_visitors
active_customer_demographic_mix_score_lag7,active_customer_demographic_mix_score_lag30,0.9958918244228655,active_customer_demographic_mix_score,active_customer_demographic_mix_score
active_customer_demographic_mix_score_lag7,active_customer_demographic_mix_score_roll7,0.9953725802624701,active_customer_demographic_mix_score,active_customer_demographic_mix_score
daily_total_quantity_lag30,daily_order_count_lag30,0.995300214818339,daily_total_quantity,daily_order_count
daily_total_quantity_lag7,daily_order_count_lag7,0.9952561168268859,daily_total_quantity,daily_order_count
legacy_order_ratio_lag365,legacy_revenue_share_lag365,0.9952257769541468,legacy_order_ratio,legacy_revenue_share
active_customer_demographic_mix_score_lag7,active_customer_demographic_mix_score_roll30,0.99519550945711,active_customer_demographic_mix_score,active_customer_demographic_mix_score
daily_return_risk_index_lag365,payment_method_cancellation_risk_lag365,0.9950568860488213,daily_return_risk_index,payment_method_cancellation_risk
active_customer_demographic_mix_score_lag7,active_customer_demographic_mix_score_lag365,0.9947350171010353,active_customer_demographic_mix_score,active_customer_demographic_mix_score
market_era_lag30,market_era_roll30,0.9947212983547289,market_era,market_era
category_reason_weighted_return_risk_lag365,payment_method_cancellation_risk_lag365,0.9946538513746113,category_reason_weighted_return_risk,payment_method_cancellation_risk
active_customer_demographic_mix_score_lag365,active_customer_demographic_mix_score_roll7,0.994496710929462,active_customer_demographic_mix_score,active_customer_demographic_mix_score
active_customer_demographic_mix_score_lag365,active_customer_demographic_mix_score_roll30,0.9944927508163814,active_customer_demographic_mix_score,active_customer_demographic_mix_score
legacy_order_ratio_lag30,legacy_revenue_share_lag30,0.9943502698106745,legacy_order_ratio,legacy_revenue_share
legacy_order_ratio_lag7,legacy_revenue_share_lag7,0.9943259824884165,legacy_order_ratio,legacy_revenue_share
active_customer_demographic_mix_score_lag30,active_customer_demographic_mix_score_roll7,0.9942886812662726,active_customer_demographic_mix_score,active_customer_demographic_mix_score
wt_sessions_lag30,wt_unique_visitors_lag30,0.9942466004910764,wt_sessions,wt_unique_visitors
size_mix_return_pressure_lag30,category_reason_weighted_return_risk_lag30,0.9942043924529697,size_mix_return_pressure,category_reason_weighted_return_risk
size_mix_return_pressure_lag365,payment_method_cancellation_risk_lag365,0.9941645896472945,size_mix_return_pressure,payment_method_cancellation_risk
wt_sessions_lag7,wt_unique_visitors_lag7,0.9940527549020773,wt_sessions,wt_unique_visitors
avg_delivery_days_lag365,daily_return_risk_index_lag365,0.9938269194657247,avg_delivery_days,daily_return_risk_index
active_customer_demographic_mix_score_lag30,active_customer_demographic_mix_score_lag365,0.9937261216984457,active_customer_demographic_mix_score,active_customer_demographic_mix_score
active_customer_demographic_mix_score_lag30,active_customer_demographic_mix_score_roll30,0.9935916008107646,active_customer_demographic_mix_score,active_customer_demographic_mix_score
avg_delivery_days_lag365,size_mix_return_pressure_lag365,0.9929147762798025,avg_delivery_days,size_mix_return_pressure
avg_delivery_days_lag365,category_reason_weighted_return_risk_lag365,0.9927888154831352,avg_delivery_days,category_reason_weighted_return_risk
covid_intensity_lag7,covid_intensity_lag30,0.9921034849164488,covid_intensity,covid_intensity
covid_intensity_lag30,covid_intensity_roll7,0.99070783452274,covid_intensity,covid_intensity
daily_return_risk_index_lag30,size_mix_return_pressure_lag30,0.990507826640256,daily_return_risk_index,size_mix_return_pressure
wt_sessions_roll7,wt_page_views_roll7,0.9901032186875189,wt_sessions,wt_page_views
daily_return_risk_index_lag30,category_reason_weighted_return_risk_lag30,0.9896459468080346,daily_return_risk_index,category_reason_weighted_return_risk
wt_unique_visitors_roll7,wt_page_views_roll7,0.989588163825707,wt_unique_visitors,wt_page_views
wt_bounce_rate_roll30,high_intent_traffic_share_roll30,0.9893622748481554,wt_bounce_rate,high_intent_traffic_share
avg_delivery_days_lag365,payment_method_cancellation_risk_lag365,0.9887464542869618,avg_delivery_days,payment_method_cancellation_risk
covid_intensity,covid_intensity_lag30,0.9881906373335452,covid_intensity,covid_intensity
market_era_lag7,market_era_lag30,0.9874032549650746,market_era,market_era
market_era_lag30,market_era_roll7,0.9864479126625757,market_era,market_era
daily_total_cogs_lag365,daily_gross_revenue_before_discount_lag365,0.9863287917008663,daily_total_cogs,daily_gross_revenue_before_discount
city_encoded_lag365,size_mix_return_pressure_lag365,0.985513019966443,city_encoded,size_mix_return_pressure
daily_return_risk_index_lag365,city_encoded_lag365,0.9847837952454951,daily_return_risk_index,city_encoded
legacy_order_ratio_lag7,legacy_order_ratio_roll7,0.9841822939523323,legacy_order_ratio,legacy_order_ratio
wt_avg_session_dur_roll30,high_intent_traffic_share_roll30,0.9838981082019282,wt_avg_session_dur,high_intent_traffic_share
daily_total_cogs_lag30,daily_gross_revenue_before_discount_lag30,0.9838926790964655,daily_total_cogs,daily_gross_revenue_before_discount
daily_total_cogs_lag7,daily_gross_revenue_before_discount_lag7,0.9837285714084597,daily_total_cogs,daily_gross_revenue_before_discount
city_encoded_lag365,category_reason_weighted_return_risk_lag365,0.9836992552495847,city_encoded,category_reason_weighted_return_risk
legacy_order_ratio_lag7,legacy_revenue_share_roll7,0.98345392697436,legacy_order_ratio,legacy_revenue_share
legacy_order_ratio_lag7,legacy_order_ratio_roll30,0.9832516572424843,legacy_order_ratio,legacy_order_ratio
city_encoded_roll7,city_encoded_roll30,0.9831973323825663,city_encoded,city_encoded
legacy_order_ratio_lag7,legacy_revenue_share_roll30,0.9830560372934729,legacy_order_ratio,legacy_revenue_share
customer_repurchase_cadence_index_roll7,customer_repurchase_cadence_index_roll30,0.9822175801554844,customer_repurchase_cadence_index,customer_repurchase_cadence_index
daily_total_cogs_roll30,daily_gross_revenue_before_discount_roll30,0.9815212552965865,daily_total_cogs,daily_gross_revenue_before_discount
daily_total_cogs_roll7,daily_gross_revenue_before_discount_roll7,0.9813128553294632,daily_total_cogs,daily_gross_revenue_before_discount
city_encoded_lag365,payment_method_cancellation_risk_lag365,0.9803283939855094,city_encoded,payment_method_cancellation_risk
daily_return_risk_index_lag365,upt_lag365,0.9799360308614512,daily_return_risk_index,upt
category_reason_weighted_return_risk_lag365,upt_lag365,0.979665687570646,category_reason_weighted_return_risk,upt
avg_delivery_days_lag365,city_encoded_lag365,0.9793630031844964,avg_delivery_days,city_encoded
legacy_revenue_share_lag7,legacy_revenue_share_roll7,0.9791331898247683,legacy_revenue_share,legacy_revenue_share
high_intent_traffic_share_roll7,high_intent_traffic_share_roll30,0.9788397300503247,high_intent_traffic_share,high_intent_traffic_share
size_mix_return_pressure_lag365,upt_lag365,0.9784924382879062,size_mix_return_pressure,upt
legacy_order_ratio_roll7,legacy_revenue_share_lag7,0.9783194943590451,legacy_order_ratio,legacy_revenue_share
legacy_revenue_share_lag7,legacy_revenue_share_roll30,0.9775352849053749,legacy_revenue_share,legacy_revenue_share
legacy_order_ratio_roll30,legacy_revenue_share_lag7,0.9773694821243961,legacy_order_ratio,legacy_revenue_share
size_mix_return_pressure_lag7,category_reason_weighted_return_risk_lag7,0.976877736289146,size_mix_return_pressure,category_reason_weighted_return_risk
active_customer_demographic_mix_score_roll30,year,0.9764731230261291,active_customer_demographic_mix_score,year
active_customer_demographic_mix_score_roll7,year,0.9761639366926687,active_customer_demographic_mix_score,year
active_customer_demographic_mix_score_lag7,year,0.976083282951269,active_customer_demographic_mix_score,year
daily_total_item_revenue_lag365,daily_gross_revenue_before_discount_lag365,0.9760232711710148,daily_total_item_revenue,daily_gross_revenue_before_discount
active_customer_demographic_mix_score_lag365,year,0.9756275519003987,active_customer_demographic_mix_score,year
active_customer_demographic_mix_score_lag30,year,0.9748695137971646,active_customer_demographic_mix_score,year
daily_total_item_revenue_roll30,daily_gross_revenue_before_discount_roll30,0.9745777120500858,daily_total_item_revenue,daily_gross_revenue_before_discount
avg_delivery_days_lag365,upt_lag365,0.9736005055934482,avg_delivery_days,upt
payment_method_cancellation_risk_lag365,upt_lag365,0.9734982270530443,payment_method_cancellation_risk,upt
wt_sessions_lag7,wt_sessions_roll7,0.9731702437201756,wt_sessions,wt_sessions
wt_sessions_lag7,wt_unique_visitors_roll7,0.9720379194463581,wt_sessions,wt_unique_visitors
day_of_year,week_of_year,0.9718911690264966,day_of_year,week_of_year
daily_return_risk_index_lag365,regional_revenue_concentration_index_lag365,0.9717825333549213,daily_return_risk_index,regional_revenue_concentration_index
size_mix_return_pressure_lag365,regional_revenue_concentration_index_lag365,0.9707615985007148,size_mix_return_pressure,regional_revenue_concentration_index
daily_total_item_revenue_lag30,daily_gross_revenue_before_discount_lag30,0.9707427946112699,daily_total_item_revenue,daily_gross_revenue_before_discount
legacy_aov_lag365,aov_lag365,0.9705853463142466,legacy_aov,aov
legacy_aov_roll30,aov_roll30,0.9705688093608789,legacy_aov,aov
daily_total_cogs_lag365,daily_order_count_lag365,0.9704490229974952,daily_total_cogs,daily_order_count
week_of_year,month,0.9704412686924163,week_of_year,month
daily_total_item_revenue_lag7,daily_gross_revenue_before_discount_lag7,0.9704317436880923,daily_total_item_revenue,daily_gross_revenue_before_discount
category_reason_weighted_return_risk_lag365,regional_revenue_concentration_index_lag365,0.9702097461693303,category_reason_weighted_return_risk,regional_revenue_concentration_index
daily_avg_fill_rate_lag7,daily_avg_fill_rate_roll7,0.9697707298156897,daily_avg_fill_rate,daily_avg_fill_rate
wt_bounce_rate_roll30,high_intent_traffic_share_roll7,0.9686073162873027,wt_bounce_rate,high_intent_traffic_share
wt_unique_visitors_lag7,wt_unique_visitors_roll7,0.9680634963225879,wt_unique_visitors,wt_unique_visitors
regional_revenue_concentration_index_lag365,payment_method_cancellation_risk_lag365,0.9679155072412461,regional_revenue_concentration_index,payment_method_cancellation_risk
wt_sessions_roll7,wt_unique_visitors_lag7,0.9673955857499345,wt_sessions,wt_unique_visitors
wt_sessions_roll7,wt_sessions_roll30,0.9671788918676055,wt_sessions,wt_sessions
wt_sessions_roll7,wt_unique_visitors_roll30,0.9671102310210021,wt_sessions,wt_unique_visitors
daily_return_risk_index_lag365,financing_intensity_index_lag365,0.966799857933093,daily_return_risk_index,financing_intensity_index
wt_unique_visitors_roll7,wt_unique_visitors_roll30,0.9665073686572259,wt_unique_visitors,wt_unique_visitors
city_encoded_lag365,regional_revenue_concentration_index_lag365,0.9664745252920881,city_encoded,regional_revenue_concentration_index
avg_delivery_days_lag365,regional_revenue_concentration_index_lag365,0.966295737691519,avg_delivery_days,regional_revenue_concentration_index
wt_sessions_roll30,wt_unique_visitors_roll7,0.9662069214768831,wt_sessions,wt_unique_visitors
size_mix_return_pressure_lag365,financing_intensity_index_lag365,0.9659394512336508,size_mix_return_pressure,financing_intensity_index
daily_total_item_revenue_roll7,daily_gross_revenue_before_discount_roll7,0.96564509541744,daily_total_item_revenue,daily_gross_revenue_before_discount
category_reason_weighted_return_risk_roll7,category_reason_weighted_return_risk_roll30,0.9655569349495216,category_reason_weighted_return_risk,category_reason_weighted_return_risk
category_reason_weighted_return_risk_lag365,financing_intensity_index_lag365,0.9655015238979158,category_reason_weighted_return_risk,financing_intensity_index
wt_sessions_roll7,wt_page_views_roll30,0.9653681307488243,wt_sessions,wt_page_views
wt_bounce_rate_roll30,wt_avg_session_dur_roll30,0.9645997157916515,wt_bounce_rate,wt_avg_session_dur
wt_unique_visitors_roll7,wt_page_views_roll30,0.9645942956881969,wt_unique_visitors,wt_page_views
legacy_order_ratio_roll30,year,0.964337143915678,legacy_order_ratio,year
high_intent_traffic_share_lag7,high_intent_traffic_share_roll7,0.9642863922482513,high_intent_traffic_share,high_intent_traffic_share
legacy_revenue_share_roll30,year,0.9641039860598657,legacy_revenue_share,year
legacy_order_ratio_roll7,year,0.9640153882592795,legacy_order_ratio,year
wt_avg_session_dur_roll30,high_intent_traffic_share_roll7,0.9640061169536965,wt_avg_session_dur,high_intent_traffic_share
wt_sessions_lag7,wt_page_views_roll7,0.9634732569293865,wt_sessions,wt_page_views
legacy_revenue_share_roll7,year,0.963205923485227,legacy_revenue_share,year
daily_total_item_revenue_lag365,daily_total_cogs_lag365,0.9616688318289964,daily_total_item_revenue,daily_total_cogs
avg_delivery_days_lag365,financing_intensity_index_lag365,0.9616007380908497,avg_delivery_days,financing_intensity_index
daily_return_risk_index_lag7,size_mix_return_pressure_lag7,0.9612055421764323,daily_return_risk_index,size_mix_return_pressure
daily_total_cogs_lag30,daily_order_count_lag30,0.9610882947120624,daily_total_cogs,daily_order_count
daily_total_cogs_lag7,daily_order_count_lag7,0.9607294408528968,daily_total_cogs,daily_order_count
daily_gross_revenue_before_discount_lag365,daily_order_count_lag365,0.959934389032081,daily_gross_revenue_before_discount,daily_order_count
daily_total_cogs_roll7,daily_order_count_roll7,0.9597373718368378,daily_total_cogs,daily_order_count
wt_page_views_roll7,wt_page_views_roll30,0.9596546373970471,wt_page_views,wt_page_views
daily_return_risk_index_lag7,category_reason_weighted_return_risk_lag7,0.9582839275067497,daily_return_risk_index,category_reason_weighted_return_risk
daily_stockout_rate_lag365,daily_avg_fill_rate_lag365,0.958198594797067,daily_stockout_rate,daily_avg_fill_rate
daily_return_risk_index_lag30,daily_avg_fill_rate_roll7,0.9579764378388055,daily_return_risk_index,daily_avg_fill_rate
wt_sessions_lag365,wt_page_views_lag365,0.9575942075301206,wt_sessions,wt_page_views
daily_return_risk_index_lag365,daily_avg_fill_rate_lag365,0.9575210533796304,daily_return_risk_index,daily_avg_fill_rate
wt_unique_visitors_lag7,wt_page_views_roll7,0.9574799330833962,wt_unique_visitors,wt_page_views
wt_unique_visitors_roll30,wt_page_views_roll7,0.9568109344925407,wt_unique_visitors,wt_page_views
wt_sessions_roll30,wt_page_views_roll7,0.9567351605238236,wt_sessions,wt_page_views
daily_avg_fill_rate_lag365,category_reason_weighted_return_risk_lag365,0.9565368376761658,daily_avg_fill_rate,category_reason_weighted_return_risk
daily_avg_fill_rate_roll7,category_reason_weighted_return_risk_lag30,0.9564583219355816,daily_avg_fill_rate,category_reason_weighted_return_risk
daily_total_quantity_lag365,daily_total_cogs_lag365,0.9564573775143662,daily_total_quantity,daily_total_cogs
daily_avg_fill_rate_lag365,payment_method_cancellation_risk_lag365,0.9558933093080837,daily_avg_fill_rate,payment_method_cancellation_risk
city_encoded_lag365,upt_lag365,0.955748768941466,city_encoded,upt
daily_total_cogs_roll30,daily_order_count_roll30,0.9555463355074183,daily_total_cogs,daily_order_count
wt_sessions_lag7,wt_sessions_roll30,0.9554257151668114,wt_sessions,wt_sessions
wt_sessions_lag7,wt_unique_visitors_roll30,0.9553378151376773,wt_sessions,wt_unique_visitors
wt_bounce_rate_roll7,high_intent_traffic_share_roll7,0.955308845755202,wt_bounce_rate,high_intent_traffic_share
daily_order_line_count_lag365,daily_total_cogs_lag365,0.9551481681188919,daily_order_line_count,daily_total_cogs
wt_bounce_rate_roll7,wt_bounce_rate_roll30,0.9550136406859321,wt_bounce_rate,wt_bounce_rate
payment_method_cancellation_risk_lag365,financing_intensity_index_lag365,0.9549184950862243,payment_method_cancellation_risk,financing_intensity_index
daily_return_risk_index_lag365,daily_expected_margin_mix_lag365,0.9547616565954675,daily_return_risk_index,daily_expected_margin_mix
daily_total_item_revenue_roll30,daily_total_cogs_roll30,0.9546722841180467,daily_total_item_revenue,daily_total_cogs
daily_expected_margin_mix_lag365,category_reason_weighted_return_risk_lag365,0.9544736052844828,daily_expected_margin_mix,category_reason_weighted_return_risk
daily_expected_margin_mix_lag365,size_mix_return_pressure_lag365,0.954349246643389,daily_expected_margin_mix,size_mix_return_pressure
daily_avg_fill_rate_lag365,size_mix_return_pressure_lag365,0.9539538091165607,daily_avg_fill_rate,size_mix_return_pressure
daily_total_item_revenue_lag30,daily_total_cogs_lag30,0.9536221351743511,daily_total_item_revenue,daily_total_cogs
wt_sessions_lag7,wt_page_views_roll30,0.9535493872846068,wt_sessions,wt_page_views
wt_unique_visitors_lag365,wt_page_views_lag365,0.9535185333151839,wt_unique_visitors,wt_page_views
daily_total_item_revenue_lag7,daily_total_cogs_lag7,0.9531462298447557,daily_total_item_revenue,daily_total_cogs
city_encoded_lag365,financing_intensity_index_lag365,0.9528322428065965,city_encoded,financing_intensity_index
avg_delivery_days_lag365,daily_avg_fill_rate_lag365,0.9518581791294822,avg_delivery_days,daily_avg_fill_rate
high_intent_traffic_share_lag7,high_intent_traffic_share_roll30,0.9517741964733685,high_intent_traffic_share,high_intent_traffic_share
daily_return_risk_index_lag365,daily_mobile_order_ratio_lag365,0.9506164584005938,daily_return_risk_index,daily_mobile_order_ratio
legacy_order_ratio_lag7,legacy_order_ratio_lag30,0.9501471767632683,legacy_order_ratio,legacy_order_ratio
size_mix_return_pressure_lag365,daily_mobile_order_ratio_lag365,0.9500124562451782,size_mix_return_pressure,daily_mobile_order_ratio
