fold,candidate,feature_profile,residual_scale,cogs_mix_factor,feature_count,train_start,train_end,holdout_days,revenue_mae,cogs_mae,official_mae,pred_revenue_mean,actual_revenue_mean,pred_cogs_mean,actual_cogs_mean,description
recovery_2022,seasonal_xgb_core_business,core_plus_business,1.0,1.0,111,2012-07-04,2021-12-31,365,767266.8932923682,718394.0232120457,742830.4582522069,2875748.6904520458,3204791.3196986304,2374880.111900832,2795671.682109589,Pruned business-driver feature profile without post-hoc residual uplift.
recovery_2022,seasonal_xgb_core_business_uplift_135,core_plus_business,1.35,1.0,111,2012-07-04,2021-12-31,365,767107.8718515602,716531.4500609793,741819.6609562698,2881367.7671043756,3204791.3196986304,2379554.675667532,2795671.682109589,Business-driver feature profile with moderate market-regime uplift.
recovery_2022,seasonal_xgb_market_uplift_160_cogs098,full,1.6,0.98,212,2012-07-04,2021-12-31,365,828449.1697759704,793866.6929162898,811157.9313461301,2730447.6668441147,3204791.3196986304,2232764.204696921,2795671.682109589,Current public-best revenue path with lower COGS ratio mix.
recovery_2022,seasonal_xgb_market_uplift_160_cogs102,full,1.6,1.02,212,2012-07-04,2021-12-31,365,828449.1697759704,755946.6795908252,792197.9246833979,2730447.6668441147,3204791.3196986304,2323897.437541693,2795671.682109589,Current public-best revenue path with higher COGS ratio mix.
recovery_2022_h2,seasonal_xgb_full,full,1.0,1.0,212,2012-07-04,2022-06-30,184,686409.2094138478,624100.0929244143,655254.651169131,2383667.388126377,2594013.46701087,1997525.4006624378,2318435.532989131,Baseline seasonal-XGB using the full feature profile.
recovery_2022_h2,seasonal_xgb_market_uplift_135,full,1.35,1.0,212,2012-07-04,2022-06-30,184,686576.7781943388,616093.7025178646,651335.2403561017,2412705.8150495156,2594013.46701087,2021858.8193865137,2318435.532989131,Conservative market-regime uplift applied to the business residual.
recovery_2022_h2,seasonal_xgb_market_uplift_160,full,1.6,1.0,212,2012-07-04,2022-06-30,184,688083.3444130084,612216.4384974138,650149.8914552111,2433447.548566043,2594013.46701087,2039239.8327608537,2318435.532989131,Current public-best market-regime uplift candidate applied only to business residual.
recovery_2022_h2,seasonal_xgb_core_business,core_plus_business,1.0,1.0,111,2012-07-04,2022-06-30,184,670360.968956476,590498.9612355145,630429.9650959952,2542931.754459385,2594013.46701087,2133038.3832871644,2318435.532989131,Pruned business-driver feature profile without post-hoc residual uplift.
recovery_2022_h2,seasonal_xgb_core_business_uplift_135,core_plus_business,1.35,1.0,111,2012-07-04,2022-06-30,184,682945.7809081606,587577.055281052,635261.4180946064,2627712.7095990763,2594013.46701087,2204170.3346579755,2318435.532989131,Business-driver feature profile with moderate market-regime uplift.
recovery_2022_h2,seasonal_xgb_market_uplift_160_cogs098,full,1.6,0.98,212,2012-07-04,2022-06-30,184,688083.3444130084,621410.0342834197,654746.6893482141,2433447.548566043,2594013.46701087,1998455.0361056363,2318435.532989131,Current public-best revenue path with lower COGS ratio mix.
recovery_2022_h2,seasonal_xgb_market_uplift_160_cogs102,full,1.6,1.02,212,2012-07-04,2022-06-30,184,688083.3444130084,605899.3772631639,646991.3608380861,2433447.548566043,2594013.46701087,2080024.6294160706,2318435.532989131,Current public-best revenue path with higher COGS ratio mix.
